Open,High,Low,Close,Volume
47310.35,47364.03,47260,47320.26,22.53038
47320.26,47338.78,47312,47317.14,13.7027
47317.13,47317.14,47257.01,47292.16,18.42075
47292.16,47293.31,47236.81,47249.99,46.14955
47250,47281.61,47210,47256.62,55.29687
47256.63,47311.93,47256.62,47310.99,25.23902
47310.98,47330.23,47276.65,47306.38,38.67317
47306.37,47311.63,47251.61,47251.61,14.93949
47251.61,47253.64,47215.39,47216.5,23.32431
47216.5,47226.65,47123.48,47199.84,67.721
47199.83,47237.26,47181.33,47188.07,32.51721
47188.06,47191.88,47100,47149.27,93.14368
47149.28,47221.51,47139.35,47216.76,19.04445
47216.77,47218.29,47139.69,47147.01,20.45263
47147.6,47200,47101.74,47197.03,54.05987
47197.03,47237.75,47189.68,47192.94,25.21418
47192.93,47192.94,47123.46,47153.33,18.27525
47156.21,47156.95,47025.26,47082.6,93.17943
47082.6,47089,46921.13,46984.85,148.63634
46984.86,47039.84,46948.61,46948.62,46.75825
46948.62,47009.13,46931.86,46961.44,92.08942
46961.44,47005.35,46938.49,46969.06,61.3433
46969.06,47049.68,46955.33,47043.99,29.9511
47042.35,47043.99,46900,46907.9,66.05058
46904.02,46950,46889,46914.64,32.02614
46914.64,47000,46906.67,46999.99,19.69378
46999.99,47011.16,46967.86,46986.94,18.31028
46986.94,46992.09,46944.57,46972.94,22.95961
46972.94,47017.69,46972.94,47007.37,17.49122
47007.38,47048.82,47007.37,47042.14,20.28434
47037.64,47050,47018.36,47034.95,16.598
47034.94,47034.95,46935.69,46956.39,34.21382
46956.4,46997.03,46949.01,46978.78,10.6809
46976.08,47015.36,46972.32,46992.79,19.88207
46992.78,47045.16,46992.78,47036.7,13.39972
47036.68,47050,47004.71,47009.47,15.26496
47009.47,47009.47,46968.42,46975.47,5.90235
46975.47,46975.47,46934.24,46945.49,18.29875
46945.5,46953.62,46900,46949.98,33.17444
46949.99,46990.23,46916.7,46968.5,26.71987
46968.5,47012.95,46959.04,47012.95,32.70151
47012.94,47017.67,46964.29,46991.01,13.92826
46992.72,47033.33,46967,46995.5,20.46304
46995.51,47018.86,46994.15,47018.62,9.09002
47018.61,47018.62,46951.7,46957.58,17.69628
46957.58,47007.38,46940.89,47003.16,23.49323
47003.16,47005.37,46964.32,46973.77,8.15086
46973.78,47009.29,46973.77,47008.92,10.95132
47008.93,47026.79,47008.92,47024.76,8.19154
47023.15,47036.93,47011.99,47016.57,9.35845
47016.56,47021.33,46970.53,47002.52,10.22256
47000.01,47032.36,46995.28,47028.2,34.17295
47028.19,47030.52,46967.8,47007.77,26.34855
47007.77,47026.62,46996.5,47024.99,7.93834
47024.99,47025.06,46987.61,47016.33,19.72832
47016.34,47025,47012.89,47014.08,8.80586
47015.15,47015.15,46986.7,46986.71,9.76278
46986.71,46998.98,46959.78,46960.24,9.03767
46960.24,47015,46950,46950,22.15153
46950,47000,46950,46994.05,25.68114
46994.06,47016.67,46976.93,46994.4,24.13732
46994.4,47000,46961.85,46969.28,11.31749
46969.27,46996.12,46969.27,46993.16,7.52305
46993.17,46993.17,46969.27,46969.28,11.37425
46969.28,46969.28,46934.95,46940.01,12.12685
46939.99,46940.01,46900,46906.44,21.63344
46906.44,46965,46898.75,46964.99,15.82767
46965,46984.04,46960.41,46960.41,14.73167
46960.42,46971.99,46960.4,46970.63,3.18343
46970.64,47007.98,46966.29,46989.36,17.64373
46989.36,46989.36,46965,46980.82,12.58704
46980.82,46980.82,46954.93,46962.13,4.70323
46962.13,46987.19,46962.12,46979.87,6.84437
46979.87,47000,46960.48,46964.73,10.73163
46964.73,47018,46954.95,46998.1,44.01208
47003.69,47040.52,46998.1,47000.97,22.56646
47000.97,47017.85,46975.56,46982.92,13.20042
46982.92,46995.42,46969,46969,12.14957
46969.01,46969.01,46946.19,46946.19,9.85641
46946.2,46974.37,46944.3,46944.3,8.62956
46944.3,46950,46915.85,46940,27.19897
46939.99,46950.48,46922.48,46936.14,13.00876
46936.13,46945.78,46921.95,46943.88,12.01128
46943.87,46986.28,46935.82,46980.13,17.61508
46980.13,46982.8,46951.38,46962.05,8.73936
46962.04,46988.51,46942.21,46956.05,12.17653
46956.05,46978.6,46925.01,46925.02,18.43093
46925.02,46964.02,46911.08,46953.43,22.88928
46953.43,46954.64,46919.29,46924.28,10.30919
46924.27,46925.39,46890.27,46903.99,22.56053
46903.99,46940.08,46760.53,46763.01,151.74352
46760.53,46775.5,46500,46683.2,499.85506
46683.2,46713.29,46635.06,46706.97,45.31888
46706.97,46790.34,46691.72,46742.44,30.16363
46742.44,46758.32,46671.7,46705.1,20.16299
46705.1,46715.83,46644.56,46715.83,43.12158
46709.84,46779.57,46690.36,46725.23,20.78746
46719.11,46739.17,46686.68,46736.55,19.19829
46736.55,46755.05,46718.26,46746.19,5.62708
46746.2,46751.99,46692.71,46709.65,13.46281
46709.65,46736.52,46700.01,46714.31,8.23876
46714.31,46714.32,46647.81,46671.4,10.07112
46671.4,46697,46663.93,46693.63,15.93207
46693.63,46707.29,46659.58,46667.49,12.11043
46667.49,46695.93,46666.33,46679.64,7.12935
46679.65,46691,46617.38,46629.04,19.18491
46629.05,46714.3,46584.82,46698.04,71.51154
46698.04,46701.96,46653.07,46659.23,14.7053
46659.23,46665.44,46628.23,46648.34,41.97192
46648.34,46717.2,46648.17,46686.41,13.86246
46686.42,46688.68,46609,46639.39,24.87119
46639.4,46652.93,46630.56,46652.92,9.08188
46652.93,46679.66,46635.98,46675.76,18.16775
46675.76,46678.3,46632.96,46638.46,18.30927
46638.45,46657.49,46605,46605.01,21.39902
46605.01,46624.5,46600.08,46602.35,21.66648
46602.34,46634.51,46581.49,46630.35,40.05765
46630.34,46633.24,46613.44,46613.45,16.99842
46613.44,46613.45,46507.2,46549.29,35.06408
46549.29,46605.46,46549.29,46550,23.60346
46550.01,46578.67,46546.73,46550.02,16.25921
46550.03,46553.93,46343.53,46406.18,246.68634
46406.18,46464.44,46402.65,46408.59,49.40429
46408.6,46461.48,46408.59,46411.8,23.73338
46411.79,46457.3,46411.79,46430.57,16.92843
46430.57,46433.62,46339.99,46424.99,62.49088
46425,46452.28,46400,46427.65,27.84457
46427.65,46442.44,46380.45,46398.54,24.63344
46398.06,46408.12,46376.98,46378.18,19.53259
46378.18,46381.57,46283.63,46315.33,74.89696
46310.68,46331,46260.01,46326.07,34.36139
46326.07,46329.14,46278.01,46314.04,18.63081
46313.99,46314.02,46253.75,46278,25.57831
46278,46287,46208.35,46208.8,59.35723
46208.8,46249.84,46150,46192.7,104.59704
46194.28,46280,46176.49,46280,98.47328
46280,46299.26,46240.47,46240.48,38.32836
46240.47,46240.48,46178.74,46214.1,32.15712
46214.11,46214.27,46080.61,46130.19,93.60996
46130.19,46133.33,46078.01,46085.73,60.86419
46085.43,46305.11,45945,46264.17,613.38466
46264.17,46317.23,46112.03,46178.33,107.59983
46171.08,46200,46109.24,46186.33,55.47941
46183.24,46193.91,45945,46007.74,127.51228
46007.74,46089.02,46007.73,46069.35,58.93612
46069.35,46144.67,46062.67,46127.11,50.00461
46127.11,46178.64,46058.68,46178.64,46.61045
46173.71,46200,46122.04,46160.71,46.49618
